"Name"	"Abbreviation"	"Direction"
"UNIPROTKB"	"ACC+ID"	"ACC+ID"
"UNIPROTKB_AC"	"ACC"	"ACC"
"UNIPROTKB_ID"	"ID"	"ID"
"UNIPARC"	"UPARC"	"UPARC"
"UNIREF50"	"NF50"	"NF50"
"UNIREF90"	"NF90"	"NF90"
"UNIREF100"	"NF100"	"NF100"
"GENE_NAME"	"GENENAME"	"GENENAME"
"CRC64"	"CRC64"	"CRC64"
"EMBL/GENBANK/DDBJ"	"EMBL_ID"	"EMBL_ID"
"EMBL/GENBANK/DDBJ_CDS"	"EMBL"	"EMBL"
"ENTREZ_GENE"	"P_ENTREZGENEID"	"P_ENTREZGENEID"
"GI_NUMBER"	"P_GI"	"P_GI"
"PIR"	"PIR"	"PIR"
"REFSEQ_NUCLEOTIDE"	"REFSEQ_NT_ID"	"REFSEQ_NT_ID"
"REFSEQ_PROTEIN"	"P_REFSEQ_AC"	"P_REFSEQ_AC"
"UNIGENE"	"UNIGENE_ID"	"UNIGENE_ID"
"PDB"	"PDB_ID"	"PDB_ID"
"DISPROT"	"DISPROT_ID"	"DISPROT_ID"
"BIOGRID"	"BIOGRID_ID"	"BIOGRID_ID"
"DIP"	"DIP_ID"	"DIP_ID"
"MINT"	"MINT_ID"	"MINT_ID"
"STRING"	"STRING_ID"	"STRING_ID"
"CHEMBL"	"CHEMBL_ID"	"CHEMBL_ID"
"DRUGBANK"	"DRUGBANK_ID"	"DRUGBANK_ID"
"GUIDETOPHARMACOLOGY"	"GUIDETOPHARMACOLOGY_ID"	"GUIDETOPHARMACOLOGY_ID"
"SWISSLIPIDS"	"SWISSLIPIDS_ID"	"SWISSLIPIDS_ID"
"ALLERGOME"	"ALLERGOME_ID"	"ALLERGOME_ID"
"ESTHER"	"ESTHER_ID"	"ESTHER_ID"
"MEROPS"	"MEROPS_ID"	"MEROPS_ID"
"MYCOCLAP"	"MYCOCLAP_ID"	"MYCOCLAP_ID"
"PEROXIBASE"	"PEROXIBASE_ID"	"PEROXIBASE_ID"
"REBASE"	"REBASE_ID"	"REBASE_ID"
"TCDB"	"TCDB_ID"	"TCDB_ID"
"BIOMUTA"	"BIOMUTA_ID"	"BIOMUTA_ID"
"DMDM"	"DMDM_ID"	"DMDM_ID"
"WORLD-2DPAGE"	"WORLD_2DPAGE_ID"	"WORLD_2DPAGE_ID"
"DNASU"	"DNASU_ID"	"DNASU_ID"
